file,class,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,type_x,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,type_y,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\StreamInfo.java,redis.clients.jedis.StreamInfo,0.0,-1.0,7.0,23.0,0.76666665,-1.0,1.0,12,class,1,9,2,1.0,0.82962966,51,0,1,0,15,9,9,0.0,-1.0,7.0,23.0,0.76666665,-1.0,1.0,12,class,1,9,2,1.0,0.82962966,51,0,1,0,15,9,9
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\commands\BinaryJedisClusterCommands.java,redis.clients.jedis.commands.BinaryJedisClusterCommands,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,10,interface,1,2,23,0.0,0.0,199,0,2,0,0,193,193,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,10,interface,1,2,22,0.0,0.0,197,0,2,0,0,191,191
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedis.java,redis.clients.jedis.BinaryJedis.SetFromList,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,4686,innerclass,3,0,3,0.875,0.5294118,65,0,18,0,2,17,22,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,4624,innerclass,3,0,3,0.875,0.5294118,65,0,18,0,2,17,22
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\commands\ClusterPipeline.java,redis.clients.jedis.commands.ClusterPipeline,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7,interface,1,1,2,0.0,0.0,11,0,0,0,0,9,9,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7,interface,1,1,2,0.0,0.0,11,0,0,0,0,9,9
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster.919,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,919,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,919,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\util\ByteArrayComparator.java,redis.clients.jedis.util.ByteArrayComparator,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,3,class,1,2,1,,0.0,19,0,1,0,0,2,7,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,3,class,1,2,1,,0.0,19,0,1,0,0,2,7
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisPoolConfig.java,redis.clients.jedis.JedisPoolConfig,0.0,0.0,8.0,0.0,0.0,-1.0,4.0,5,class,2,7,1,,0.0,8,0,4,0,0,1,1,0.0,0.0,8.0,0.0,0.0,-1.0,4.0,5,class,2,7,1,,0.0,8,0,4,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\SSLJedisClusterTest.java,redis.clients.jedis.tests.SSLJedisClusterTest.232,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,232,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,232,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\params\GeoRadiusStoreParam.java,redis.clients.jedis.params.GeoRadiusStoreParam,3.0,0.0,12.0,24.0,0.6666667,0.6666667,3.0,10,class,2,16,4,0.5833333,0.33333334,74,0,16,0,2,9,21,3.0,0.0,12.0,24.0,0.6666667,0.6666667,3.0,10,class,2,16,4,0.5833333,0.33333334,74,0,16,0,2,9,21
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster.1859,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1859,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1859,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisMonitor.java,redis.clients.jedis.JedisMonitor,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,3,class,1,3,3,0.0,0.5,13,0,4,0,1,2,3,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,3,class,1,3,3,0.0,0.5,13,0,4,0,1,2,3
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisWithCompleteCredentialsTest.java,redis.clients.jedis.tests.JedisWithCompleteCredentialsTest,3.0,0.0,21.0,4.0,0.16,0.33333334,5.0,23,class,2,0,11,0.0,0.0,94,0,19,0,0,9,9,3.0,0.0,21.0,4.0,0.16,0.33333334,5.0,23,class,2,0,11,0.0,0.0,94,0,19,0,0,9,9
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\commands\ModuleCommands.java,redis.clients.jedis.commands.ModuleCommands,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7,interface,1,1,1,0.0,0.0,5,0,0,0,0,3,3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7,interface,1,1,1,0.0,0.0,5,0,0,0,0,3,3
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\JedisSentinelPoolTest.java,redis.clients.jedis.tests.JedisSentinelPoolTest.1CrashingJedisPooledObjectFactory,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,236,innerclass,1,0,5,0.0,0.0,15,0,1,0,0,5,5,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,236,innerclass,1,0,5,0.0,0.0,15,0,1,0,0,5,5
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\ProtocolTest.java,redis.clients.jedis.tests.ProtocolTest,0.0,-1.0,13.0,0.0,0.0,-1.0,5.0,27,class,1,0,8,0.0,0.0,85,0,19,0,0,10,13,0.0,-1.0,13.0,0.0,0.0,-1.0,5.0,27,class,1,0,8,0.0,0.0,85,0,19,0,0,10,13
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\JedisCluster.java,redis.clients.jedis.JedisCluster.328,1.0,1.0,1.0,0.0,0.0,0.0,1.0,328,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,328,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster.331,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,331,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,331,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\GeoUnit.java,redis.clients.jedis.GeoUnit,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,5,enum,1,22,2,,0.0,5,0,3,0,1,1,1,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,5,enum,1,22,2,,0.0,5,0,3,0,1,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster.411,1.0,1.0,1.0,0.0,0.0,0.0,1.0,411,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,411,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java,redis.clients.jedis.BinaryJedisCluster.611,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,611,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,611,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\SSLJedisWithCompleteCredentialsTest.java,redis.clients.jedis.tests.SSLJedisWithCompleteCredentialsTest.BasicHostnameVerifier,0.0,-1.0,3.0,2.0,0.4,-1.0,3.0,296,innerclass,1,0,1,,0.5,25,0,10,0,1,2,5,0.0,-1.0,3.0,2.0,0.4,-1.0,3.0,296,innerclass,1,0,1,,0.5,25,0,10,0,1,2,5
C:\Users\syuuj\gitProject\jedis\src\test\java\redis\clients\jedis\tests\UnavailableConnectionTest.java,redis.clients.jedis.tests.UnavailableConnectionTest,0.0,-1.0,14.0,5.0,0.2631579,-1.0,7.0,17,class,1,1,10,0.6,0.4,46,0,19,0,4,5,6,0.0,-1.0,14.0,5.0,0.2631579,-1.0,7.0,17,class,1,1,10,0.6,0.40000004,46,0,19,0,4,5,6
